seed,alg,layer,err,n
18,ADAPT,12,1.1257661469699087e-12,4
18,ADAPT,13,1.0e-15,4
18,ADAPT,14,3.552713678800501e-15,4
18,ADAPT,15,3.552713678800501e-15,4
18,ADAPT,16,3.1086244689504383e-15,4
18,ADAPT,17,1.3322676295501878e-15,4
18,ADAPT,18,1.0e-15,4
18,ADAPT,19,4.440892098500626e-16,4
18,ADAPT,20,3.9968028886505635e-15,4
18,ADAPT,21,4.440892098500626e-15,4
18,ADAPT,22,5.329070518200751e-15,4
18,QAOA,2,0.7383438383001106,4
18,QAOA,4,0.17883678247488755,4
18,QAOA,6,0.06574647266792155,4
18,QAOA,8,0.06564560595825775,4
18,QAOA,10,0.04534759469238914,4
18,QAOA,12,0.03028881325381194,4
18,QAOA,14,0.037153372042885824,4
18,QAOA,16,0.005933571473373256,4
18,QAOA,18,0.021754500528233578,4
19,ADAPT,2,0.7338584584214374,4
19,ADAPT,3,0.2793426941427568,4
19,ADAPT,4,0.03027483082537863,4
19,ADAPT,5,1.5246331737106544e-5,4
19,ADAPT,6,7.041727918544183e-6,4
19,ADAPT,7,6.187574225879899e-6,4
19,ADAPT,8,4.504276466033019e-6,4
19,ADAPT,9,7.825643821846029e-8,4
19,ADAPT,10,6.932546536830841e-8,4
19,ADAPT,11,5.983848705426453e-8,4
19,ADAPT,12,5.464234531515899e-8,4
19,ADAPT,13,9.539036227579345e-13,4
19,ADAPT,14,1.7763568394002505e-15,4
19,ADAPT,15,1.0e-15,4
19,ADAPT,16,1.0e-15,4
19,ADAPT,17,1.0e-15,4
19,ADAPT,18,1.0e-15,4
19,ADAPT,19,1.0e-15,4
19,ADAPT,20,1.0e-15,4
19,ADAPT,21,1.0e-15,4
19,ADAPT,22,1.0e-15,4
19,QAOA,2,0.28224809737969614,4
19,QAOA,4,0.17125937207202435,4
19,QAOA,6,0.03391985866491476,4
19,QAOA,8,0.056445460038198725,4
19,QAOA,10,0.019409718361816708,4
19,QAOA,12,0.015168231205264338,4
19,QAOA,14,0.00018904909454642294,4
19,QAOA,16,1.0e-15,4
19,QAOA,18,4.440892098500626e-16,4
20,ADAPT,2,0.5561999908982105,4
20,ADAPT,3,0.1647552297134034,4
20,ADAPT,4,0.08023657489031621,4
20,ADAPT,5,0.0802179420045952,4
20,ADAPT,6,0.08021783391605597,4
20,ADAPT,7,1.3265003008244847e-5,4
20,ADAPT,8,4.520786354822448e-6,4
20,ADAPT,9,1.35274630519433e-6,4
20,ADAPT,10,7.859992656733539e-9,4
20,ADAPT,11,2.006382837649312e-9,4
20,ADAPT,12,4.037503664733322e-11,4
20,ADAPT,13,3.0311309018316024e-12,4
20,ADAPT,14,1.3566925360919413e-13,4
20,ADAPT,15,2.1538326677728037e-14,4
20,ADAPT,16,1.4654943925052066e-14,4
20,ADAPT,17,2.1316282072803006e-14,4
20,ADAPT,18,2.3092638912203256e-14,4
20,ADAPT,19,1.9761969838327786e-14,4
20,ADAPT,20,2.3314683517128287e-14,4
20,ADAPT,21,2.9531932455029164e-14,4
20,ADAPT,22,3.352873534367973e-14,4
20,QAOA,2,0.21052154017727553,4
20,QAOA,4,0.17896376455791163,4
20,QAOA,6,0.2105215401772751,4
20,QAOA,8,0.06424592565700338,4
20,QAOA,10,0.047746923367419036,4
20,QAOA,12,0.053227051389273417,4
20,QAOA,14,0.025051707217937702,4
20,QAOA,16,0.05900220784621535,4
20,QAOA,18,0.06527945044456351,4
1,ADAPT,2,1.8404438554855709,6
1,ADAPT,3,1.3538429864343424,6
1,ADAPT,4,0.8989406775267028,6
1,ADAPT,5,0.5986422403850193,6
1,ADAPT,6,0.15182595548645939,6
1,ADAPT,7,0.15181252429605685,6
1,ADAPT,8,0.15178963372583532,6
1,ADAPT,9,0.1517886934728061,6
1,ADAPT,10,0.15037388857850154,6
1,ADAPT,11,0.15034564111897897,6
1,ADAPT,12,0.15033581748950464,6
1,ADAPT,13,6.375639104660991e-6,6
1,ADAPT,14,5.467506754008866e-6,6
1,ADAPT,15,5.404173550438429e-6,6
1,ADAPT,16,5.3985274446333165e-6,6
1,ADAPT,17,5.364998941992383e-6,6
1,ADAPT,18,5.359106963531701e-6,6
1,ADAPT,19,5.358163845059494e-6,6
1,ADAPT,20,5.357348342727164e-6,6
1,ADAPT,21,5.3569181837076485e-6,6
1,ADAPT,22,5.356591866068072e-6,6
1,QAOA,2,0.9623384761593474,6
1,QAOA,4,1.6630245544266815,6
1,QAOA,6,1.2215521425213431,6
1,QAOA,8,0.5084986449340185,6
1,QAOA,10,0.26547108394052454,6
1,QAOA,12,0.44522668473828464,6
1,QAOA,14,0.1823310005892722,6
1,QAOA,16,0.5828981525917456,6
1,QAOA,18,0.6906153492372296,6
2,ADAPT,2,1.4859814109456488,6
2,ADAPT,3,0.9898535147255458,6
2,ADAPT,4,0.5116816365139556,6
2,ADAPT,5,0.28145290519849464,6
2,ADAPT,6,0.17958624882346896,6
2,ADAPT,7,0.17957627348077398,6
